Date,NIFTY 50,NIFTY AUTO,NIFTY MEDIA,NIFTY METALS,NIFTY IT,NIFTY RURAL
06_04_2026_14_00,22890.6,24300.2,1301.9,11566.8,30661.9,
06_04_2026_14_05,22866.1,24245.9,1300.05,11548.7,30622.8,
06_04_2026_14_10,22911.4,24311.7,1301.6,11565.5,30633.3,
06_04_2026_14_15,22914.9,24309.3,1302.2,11577.7,30629.9,
06_04_2026_14_20,22907.2,24292.7,1302.7,11575.2,30645.1,
06_04_2026_14_25,22895.4,24288.1,1301,11570,30623.5,
06_04_2026_14_30,22922.2,24308.5,1302.55,11583.7,30630.9,
06_04_2026_14_35,22918,24300.7,1301.05,11585.7,30607.1,
06_04_2026_14_40,22913.8,24272.8,1301.05,11583.5,30616.6,
06_04_2026_14_45,22922,24286.4,1299.1,11583,30624.3,
06_04_2026_14_50,22911.2,24282.8,1296.4,11585.3,30596.6,
06_04_2026_14_55,22917.2,24289.8,1298.65,11588.8,30619.5,
06_04_2026_15_00,22959.7,24334.8,1299.4,11593.5,30648.5,
06_04_2026_15_05,22975.3,24350.3,1302.6,11588,30641.4,
06_04_2026_15_10,22989.3,24366.8,1302.75,11587.8,30652.2,
06_04_2026_15_15,22970.9,24360.6,1301.3,11583.2,30617.8,
06_04_2026_15_20,22969.8,24352.4,1300.95,11580.3,30624.3,
